period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
1999-10,R3FM,NA,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),421312,MMCF
1999-09,R3FM,NA,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),408237,MMCF
1999-09,R3FM,NA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Oil Wells (MMcf),70051,MMCF
1999-09,R3FM,NA,EPG0,Natural Gas,FGG,Withdrawals from Gas Wells,N9011FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Gas Wells (MMcf),338186,MMCF
1999-08,R3FM,NA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Oil Wells (MMcf),71292,MMCF
1999-08,R3FM,NA,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),424513,MMCF
1999-08,R3FM,NA,EPG0,Natural Gas,FGG,Withdrawals from Gas Wells,N9011FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Gas Wells (MMcf),353221,MMCF
1999-07,R3FM,NA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Oil Wells (MMcf),73219,MMCF
1999-07,R3FM,NA,EPG0,Natural Gas,FGG,Withdrawals from Gas Wells,N9011FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Gas Wells (MMcf),358763,MMCF
1999-07,R3FM,NA,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),431981,MMCF
1999-06,R3FM,NA,EPG0,Natural Gas,FGG,Withdrawals from Gas Wells,N9011FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Gas Wells (MMcf),346860,MMCF
1999-06,R3FM,NA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Oil Wells (MMcf),67635,MMCF
1999-06,R3FM,NA,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),414495,MMCF
1999-05,R3FM,NA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Oil Wells (MMcf),69249,MMCF
1999-05,R3FM,NA,EPG0,Natural Gas,FGG,Withdrawals from Gas Wells,N9011FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Gas Wells (MMcf),363240,MMCF
1999-05,R3FM,NA,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),432489,MMCF
1999-04,R3FM,NA,EPG0,Natural Gas,FGG,Withdrawals from Gas Wells,N9011FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Gas Wells (MMcf),357968,MMCF
1999-04,R3FM,NA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Oil Wells (MMcf),66757,MMCF
1999-04,R3FM,NA,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),424724,MMCF
1999-03,R3FM,NA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Oil Wells (MMcf),65543,MMCF
1999-03,R3FM,NA,EPG0,Natural Gas,FGG,Withdrawals from Gas Wells,N9011FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Gas Wells (MMcf),369468,MMCF
1999-03,R3FM,NA,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),435012,MMCF
1999-02,R3FM,NA,EPG0,Natural Gas,FGG,Withdrawals from Gas Wells,N9011FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Gas Wells (MMcf),335726,MMCF
1999-02,R3FM,NA,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),395293,MMCF
1999-02,R3FM,NA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Oil Wells (MMcf),59567,MMCF
1999-01,R3FM,NA,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),436171,MMCF
1999-01,R3FM,NA,EPG0,Natural Gas,FGG,Withdrawals from Gas Wells,N9011FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Gas Wells (MMcf),369137,MMCF
1999-01,R3FM,NA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Oil Wells (MMcf),67034,MMCF
1998-12,R3FM,NA,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),434518,MMCF
1998-12,R3FM,NA,EPG0,Natural Gas,FGG,Withdrawals from Gas Wells,N9011FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Gas Wells (MMcf),367736,MMCF
1998-12,R3FM,NA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Oil Wells (MMcf),66781,MMCF
