period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2023-11,R84,NA,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040842,South Central Region Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (MMcf),40631,MMCF
2023-11,R48,NA,EPG0,Natural Gas,SAH,Underground Change in Working Gas,NGM_EPG0_SAH_R48_PER,Lower 48 Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (%),6.9,%
2023-11,SIA,USA-IA,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040IA4,Iowa Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (%),-.3,%
2023-11,SAK,USA-AK,EPG0,Natural Gas,SAH,Underground Change in Working Gas,NGM_EPG0_SAH_SAK_MMCF,Alaska Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (MMcf),1214,MMCF
2023-11,SAK,USA-AK,EPG0,Natural Gas,SAH,Underground Change in Working Gas,NGM_EPG0_SAH_SAK_PER,Alaska Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (%),3.9,%
2023-11,SLA,USA-LA,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040LA4,Louisiana Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (%),0,%
2023-11,SLA,USA-LA,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040LA2,Louisiana Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (MMcf),-101,MMCF
2023-11,SKS,USA-KS,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040KS4,Kansas Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (%),4.6,%
2023-11,SAK,USA-AK,EPG0,Natural Gas,SAB,Underground Storage Base Gas,NGM_EPG0_SAB_SAK_MMCF,Alaska Natural Gas in Underground Storage (Base Gas) (MMcf),14197,MMCF
2023-11,SKS,USA-KS,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010KS2,Kansas Natural Gas in Underground Storage (Base Gas) (MMcf),163793,MMCF
2023-11,SNE,USA-NE,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010NE2,Nebraska Natural Gas in Underground Storage (Base Gas) (MMcf),22197,MMCF
2023-11,SUT,USA-UT,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010UT2,Utah Natural Gas in Underground Storage (Base Gas) (MMcf),69507,MMCF
