period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024-07,NUS,U.S.,EPG0,Natural Gas,SNI,Non-Salt Underground Storage Injections,N5540US2,U.S. Natural Gas Non-Salt Underground Storage Injections (MMcf),244136,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SAN,Underground Storage Net Withdrawals,N5070US2,U.S. Natural Gas Underground Storage Net Withdrawals (MMcf),-253559,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SSW,Salt Underground Storage Activity-Withdraw,N5450US2,U.S. Natural Gas Salt Underground Storage Activity-Withdraw  (MMcf),68530,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SAI,Underground Storage Injections,N5050US2,U.S. Total Natural Gas Injections into Underground Storage (MMcf),381644,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SAB,Underground Storage Base Gas,N5010US2,U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),4471178,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SSB,Salt - Underground Storage - Base Gas,N5400US2,U.S. Natural Gas Salt - Underground Storage - Base Gas  (MMcf),207245,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SNO,Non-Salt Underground Storage - Working Gas,N5510US2,U.S. Natural Gas Non-Salt Underground Storage - Working Gas  (MMcf),2845257,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SNN,Non-Salt Underground Storage Activity-Net,N5560US2,U.S. Natural Gas Non-Salt Underground Storage Activity-Net  (MMcf),-261925,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SSI,Salt Underground Storage Activity-Injects,N5440US2,U.S. Natural Gas Salt Underground Storage Activity-Injects  (MMcf),60165,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SST,Salt Underground Storage - Total,N5420US2,U.S. Natural Gas Salt Underground Storage - Total  (MMcf),536945,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SSO,Salt Underground Storage - Working Gas,N5410US2,U.S. Natural Gas Salt Underground Storage - Working Gas  (MMcf),329701,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SAW,Underground Storage Withdrawals,N5060US2,U.S. Natural  Gas Underground Storage Withdrawals (MMcf),128085,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SSN,Salt Underground Storage Activity-Net,N5460US2,U.S. Natural Gas Salt Underground Storage Activity-Net  (MMcf),8365,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SNW,Non-Salt Underground Storage Activity-Withdraw,N5550US2,U.S. Natural Gas Non-Salt Underground Storage Activity-Withdraw  (MMcf),59555,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SNT,Non-Salt Underground Storage - Total,N5520US2,U.S. Natural Gas Non-Salt Underground Storage - Total  (MMcf),7109190,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SNI,Non-Salt Underground Storage Injections,N5540US2,U.S. Natural Gas Non-Salt Underground Storage Injections (MMcf),321479,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SNB,Non-Salt Underground Storage  - Base Gas,N5500US2,U.S. Natural Gas Non-Salt Underground Storage  - Base Gas  (MMcf),4263933,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,SAO,Underground Storage Working Gas,N5020US2,U.S. Total Natural Gas in Underground Storage (Working Gas) (MMcf),3174958,MMCF
2024-05,NUS,U.S.,EPG0,Natural Gas,SAO,Underground Storage Working Gas,N5020US2,U.S. Total Natural Gas in Underground Storage (Working Gas) (MMcf),2923175,MMCF
2024-05,NUS,U.S.,EPG0,Natural Gas,SSW,Salt Underground Storage Activity-Withdraw,N5450US2,U.S. Natural Gas Salt Underground Storage Activity-Withdraw  (MMcf),62593,MMCF
2024-05,NUS,U.S.,EPG0,Natural Gas,SSO,Salt Underground Storage - Working Gas,N5410US2,U.S. Natural Gas Salt Underground Storage - Working Gas  (MMcf),337908,MMCF
2024-05,NUS,U.S.,EPG0,Natural Gas,SNB,Non-Salt Underground Storage  - Base Gas,N5500US2,U.S. Natural Gas Non-Salt Underground Storage  - Base Gas  (MMcf),4262000,MMCF
2024-05,NUS,U.S.,EPG0,Natural Gas,SAI,Underground Storage Injections,N5050US2,U.S. Total Natural Gas Injections into Underground Storage (MMcf),474619,MMCF
2024-05,NUS,U.S.,EPG0,Natural Gas,SST,Salt Underground Storage - Total,N5420US2,U.S. Natural Gas Salt Underground Storage - Total  (MMcf),545307,MMCF
2024-05,NUS,U.S.,EPG0,Natural Gas,SSN,Salt Underground Storage Activity-Net,N5460US2,U.S. Natural Gas Salt Underground Storage Activity-Net  (MMcf),-17847,MMCF
2024-05,NUS,U.S.,EPG0,Natural Gas,SSI,Salt Underground Storage Activity-Injects,N5440US2,U.S. Natural Gas Salt Underground Storage Activity-Injects  (MMcf),80440,MMCF
2024-05,NUS,U.S.,EPG0,Natural Gas,SSB,Salt - Underground Storage - Base Gas,N5400US2,U.S. Natural Gas Salt - Underground Storage - Base Gas  (MMcf),207399,MMCF
