period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2021,SMT,USA-MT,EPG0,Natural Gas,VN7,Number of Industrial Consumers,NA1561_SMT_8,Montana Natural Gas Number of Industrial Consumers (Count),338,COUNT
2021,SMN,MINNESOTA,EPG0,Natural Gas,VN5,Number of Commercial Consumers,NA1531_SMN_8,Minnesota Natural Gas Number of Commercial Consumers (Count),144067,COUNT
2021,SNM,USA-NM,EPG0,Natural Gas,VNT,Number of Residential Consumers - Transported,NA1509_SNM_8,New Mexico Natural Gas Number of Residential Consumers - Transported (Number of Elements),108,COUNT
2021,SAR,USA-AR,EPG0,Natural Gas,VN4,Number of Residential Consumers - Sales,NA1508_SAR_8,Arkansas Natural Gas Number of Residential Consumers - Sales (Count),568639,COUNT
2021,SME,USA-ME,EPG0,Natural Gas,VN7,Number of Industrial Consumers,NA1561_SME_8,Maine Natural Gas Number of Industrial Consumers (Count),157,COUNT
2021,SDE,USA-DE,EPG0,Natural Gas,VP7,Average Annual Consumption per Industrial Consumer,NA1561_SDE_10,Delaware Natural Gas Average Annual Consumption per Industrial Consumer (Mcf),252507,MCF
2021,SWA,WASHINGTON,EPG0,Natural Gas,VN7,Number of Industrial Consumers,NA1561_SWA_8,Washington Natural Gas Number of Industrial Consumers (Count),3306,COUNT
2021,SCA,CALIFORNIA,EPG0,Natural Gas,VNC,Number of Commercial Consumers - Transported,NA1539_SCA_8,California Natural Gas Number of Commercial Consumers - Transported (Count),40856,COUNT
2021,SAL,USA-AL,EPG0,Natural Gas,VP7,Average Annual Consumption per Industrial Consumer,NA1561_SAL_10,Alabama Natural Gas Average Annual Consumption per Industrial Consumer (Mcf),65195,MCF
2021,SAK,USA-AK,EPG0,Natural Gas,VNC,Number of Commercial Consumers - Transported,NA1539_SAK_8,Alaska Natural Gas Number of Commercial Consumers - Transported (Count),12,COUNT
2021,SSC,USA-SC,EPG0,Natural Gas,VN6,Number of Commercial Consumers - Sales,NA1538_SSC_8,South Carolina Natural Gas Number of Commercial Consumers - Sales (Count),61172,COUNT
