"Year","Report<BR>State","Plant Name","Owner Company","Operator Company","County Name","Zipcode","Plant Capacity","Plant Flow","BTU Content","Dry Gas Storage Capacity","NG Liquid Storage Capacity"
"2017","ND","County Line Plant","Liberty Midstream Solutions, LLC","Liberty Midstream Solutions, LLC","Williams","58852","25","11","1475","","6500"
"2017","ND","Garden Creek Natural Gas Processing Plant","ONEOK","ONEOK","McKenzie","58854","300","300","1450","","28100"
"2017","ND","Grasslands Natural Gas Processing Plant","ONEOK","ONEOK","McKenzie","58831","85","68","1340","","31738"
"2017","ND","Hay Butte","Caliber North Dakota LLC","Caliber North Dakota LLC","McKenzie","58831","10","4.969","1170","","5000"
"2017","ND","Lignite Natural Gas Processing Plant","ONEOK","ONEOK","Burke","58752","10","7","1293","","8571"
"2017","ND","Little Knife Gas Plant","Petro Hunt LLC","Petro Hunt LLC","Billings","58640","25","17","1400","","12530"
"2017","ND","Lonesome Creek Natural Gas Processing Plant","ONEOK","ONEOK","McKenzie","58831","200","173","1405","","8571"
"2017","ND","Nesson Plant","Nesson Gathering System LLC","Nesson Gathering System LLC","Williams","58852","35","26.397","1340","","10119"
"2017","ND","Norse Gas Plant","Kinder Morgan","Kinder Morgan","Divide","58755","25","22","1437","","6123"
"2017","ND","Red Wing Creek Gas Plant II","True Oil LLC","True Oil LLC","McKenzie","58835","12","4","1475","","9143"
"2017","ND","Robinson Lake Gas Plant","Andeavor Field Services LLC","Andeavor Field Services LLC","Mountrail","58673","140","97","1550","","29050"
"2017","ND","SpringBrook Gas Plant","1804 LTD","1804 LTD","Williams","58801","","","","",""
"2017","ND","Stateline Natural Gas Processing Plant","ONEOK","ONEOK","Williams","58801","220","167","1424","","17358"
"2017","ND","Watford City Gas Plant","Hiland Partners Holdings  LLC","Kinder Morgan","McKenzie","58831","85","57","1445","","61429"
"2017","ND","Wild Basin","Oasis Petroleum","Oasis Midstream Partners","McKenzie","58854","79","79","1500","","17143"
"2017","NM","Artesia","DCP Midstream","DCP Midstream","Eddy","88210","90","80","1200","0","2573"
"2017","NM","Buckeye CO2 Plant","Chevron USA, Inc.","Chevron","Lea","88260","55","53","230","","700"
"2017","NM","CCI San Juan LLC","Castleton Commodities International, LLC","","San Juan","87417","30","23","1039","",""
"2017","NM","Carlsbad Chaparral Gas Plant","Enterprise Field Services, LLC","Enterprise Field Services LLC","Eddy","88220","40","23","1150","",""
"2017","NM","Chaco Gas Plant","Enterprise Field Services LLC","Enterprise Products Operating LLC","San Juan","87413","600","338","1185","","12113"
"2017","NM","DENTON GS PLANT","DAVIS GAS PROCESSING INC","DAVIS GAS PROCESSING INC","LEA","88260","20","2","1427","","750"
"2017","NM","Dagger Draw","AGAVE ENERGY COMPANY","AGAVE ENERGY COMPANY","Eddy","88210","50","35","1150","",""
"2017","NM","East Vacuum Liquid Recovery Plant","ConocoPhillips","ConocoPhillips","Lea","88260","45","24","1027","","1355"
"2017","NM","Eunice","DCP Operating Company, LP","DCP Operating Company, LP","Lea","88240","105","95","1250","","4000"
"2017","NM","Hobbs Cryogenics Plant","DCP Operating Company, LP","DCP Operating Company, LP","Lea","88240","42","20","1125","","80"
"2017","NM","Indian Basin Gas Plant","OXY USA WTP LP","Oxy Permian Resources - Delaware Basin","Eddy","88254","300","64","1260","0","5000"
"2017","NM","Jal #3 Plant","ETC Field Services LLC","ETC Field Services LLC","Lea","88252","110","95","","","6680"
"2017","NM","Kutz Gas Plant","Williams","Williams Midstream Services, LLC","San Juan","87413","230","114","1152","","4285"
"2017","NM","Linam Ranch","DCP Operating Company, LP","DCP Operating Company, LP","Lea","88240","225","164","1241","","1400"
"2017","NM","Maljamar Gas Plant","AKA - FRONTIER FIELD SERVICES","FRONTIER FIELD SERVICES","LEA","88264","150","85","1200","","1143"
"2017","NM","Monument Plant","Targa Midstream Services LLC","Targa Midstream Services LLC","Lea","88265","85","81","1265","","5357"
"2017","NM","Pecos Diamond","DCP Operating Company, LP","DCP Operating Company, LP","Eddy","88210","40","","","",""
"2017","NM","Red Hills","Lucid Energy Delaware, LLC","","Lea","88252","275","130","1150","",""
"2017","NM","San Juan Gas Plant","Hilcorp San Juan, LLC.","Harvest Pipeline Company","San Juan","87413","550","372","1152","","4000"
"2017","NM","Saunders Plant","Targa Midstream Services, LLC","Targa Midstream Services, LLC","Lea","88260","70","38","1220","","2286"
"2017","NM","South Carlsbad Dew Point Plant","Enterprise Field Services LLC","Enterprise Products Operating LLC","Eddy","88256","200","50","1060","","1200"
"2017","NM","South Eddy Cryo Plant","Enterprise Field Services LLC","Enterprise Products Operating LLC","Eddy","88263","200","200","1246","",""
"2017","NM","Targa Midstream Services LLC","","Targa Midstream Services, LLC","Lea","88231-1909","115","100","1029","","713"
"2017","NM","Zia II Plant","DCP Operating Company, LP","DCP Operating Company, LP","Lea","88240","220","180","1120","","3950"
"2017","OH","Berne Natural Gas Processing Plant","Blue Racer Midstream, LLC","Blue Racer Midstream, LLC","Monroe","43754","440","244","1252","","2600"
"2017","OH","Cadiz Plant","MarkWest Liberty Midstream & Resource","MarkWest Liberty Midstream & Resource","Harrison","43907","525","509","1184","",""
"2017","OH","Hickory Bend","Columbia Pennant, LLC","TransCanada/Columbia Midstream","Mahoning","44442","200","95","1242","1","4500"
"2017","OH","Kensington","Utica East Ohio Midstream LLC","Utica East Ohio Midstream LLC","Columbiana","77002","750","501","1240","","9200"
"2017","OH","Leesville","Utica East Ohio Midstream LLC","Utica East Ohio Midstream LLC","Carroll","44621","250","6","1268","","3500"
"2017","OK","Amber Gas Plant","","","GRADY","73004-5511","21","6","1350","","380"
"2017","OK","Antelope Hills Natural Gas Processing","ONEOK","ONEOK","Roger Mills","73638","50","48","1175","","650"
"2017","OK","Arapaho Plants 1-2-3","MarkWest Oklahoma Gas Company LLC","MarkWest Oklahoma Gas Company LLC","Custer","73625-5021","225","210","1220","",""
"2017","OK","BRADLEY","ENABLE PRODUCTS LLC","ENABLE PRODUCTS LLC","GRADY","73011","400","342","1229","",""
"2017","OK","Battle Ridge Plant","EnLink Midstream Services, LLC","EnLink Midstream Services, LLC","Nacogdoches","74023","95","50","1200","","802"
"2017","OK","Beaver Gas Processing","ETC Field Services LLC","ETC Field Services LLC","Beaver","73932","95","68","1200","","2715"
"2017","OK","Bellmon Plant","Superior Pipeline Company LLC","Superior Pipeline Company LLC","Kay","74653","90","27","1190","","700"
"2017","OK","Binger","Mustang Ventures Company","Mustang Gas Products, LLC","Caddo","73009","15","8","1225","",""
"2017","OK","Binger Operations LLC","Legacy Reserves","Binger Operations LLC","Caddo","73009","15","13","","","83"
"2017","OK","Buffalo Creek","MarkWest Oklahoma Gas Company LLC","MarkWest Oklahoma Gas Company LLC","Roger Mills","73662","200","165","1220","",""
"2017","OK","CALUMET","ENABLE PRODUCTS LLC","ENABLE PRODUCTS LLC","CANADIAN","73014","250","89","1116","","5952"
"2017","OK","CANUTE","ENABLE PRODUCTS LLC","ENABLE PRODUCTS LLC","WASHITA","73626","60","32","1128","",""
"2017","OK","CLINTON","ENABLE PRODUCTS LLC","ENABLE PRODUCTS LLC","CUSTER","73601","120","117","1197","",""
"2017","OK","COX CITY","ENABLE PRODUCTS LLC","ENABLE PRODUCTS LLC","GRADY","73082","180","127","1172","","3333"
"2017","OK","Camrick Gas Plant","CAMRICK GAS PROCESSING COMPANY, LLC","CARRERA OPERATING COMPANY","BEAVER","73931","10","4","1140","","500"
"2017","OK","Cana Plant","","Enlink Midstream Services, LLC","Canadian","73014","420","371","1189","","6095"
"2017","OK","Canadian Valley Natural Gas Processing","ONEOK","ONEOK","Canadian","73014","250","249","1230","1","500"
"2017","OK","Carmen Gas Processing Plant","Tall Oak Midcon, LLC","Tall Oak Midcon, LLC","Alfalfa","73726","60","29","1185","","715"
"2017","OK","Cashion Plant","Superior Pipeline Company LLC","Superior Pipeline Company LLC","Logan","73016","45","36.5","1300","0","700"
"2017","OK","Chaney Dell Plant","TPL MID-CONTINENT WESTOK, LLC","TPL MID-CONTINENT WESTOK, LLC","Major","73768","30","","1120","",""
